/////////////////////
// FISHING REWARDS //
/////////////////////

//ID|FISHING|MAX LB (0 for non fish)|Baits/Description

// Winter Gift
1360|FISHING|0|Candy Cane Bait

// Tree Deco
3204|FISHING|0|Candy Cane Bait

// Snowcone
3228|FISHING|0|Candy Cane Bait

// Seaweed
846|FISHING|0|Wiggly Worm, Shiny Flashy Bait, Salmon Eggs, Fishing Fly, Shrimp Lure

// Fishnet
344|FISHING|0|Wiggly Worm, Shiny Flashy Bait, Salmon Eggs, Fishing Fly, Shrimp Lure

// Fishbowl
444|FISHING|0|Shiny Flashy Bait, Salmon Eggs, Fishing Fly

// Pumpkin Block
1198|FISHING|0|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Jack O' Block
1200|FISHING|0|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Lit Jack O' Block
1202|FISHING|0|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Candy Cane Bait Corn
1208|FISHING|0|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Sigil Of K'Tesh
1220|FISHING|0|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Cobweb
1238|FISHING|0|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Great White Shark
1520|FISHING|0|Salmon Eggs, Shrimp Lure, Whizmo Gizmo

// Jellyfish
1522|FISHING|0|Fishing Fly, Shrimp Lure, Whizmo Gizmo

// Battle Trout
1542|FISHING|0|Salmon Eggs, Fishing Fly, Whizmo Gizmo

// Hanging Thread
1992|FISHING|0|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Goldfish
3000|FISHING|15|Wiggly Worm, Shiny Flashy Bait, Salmon Eggs, Whizmo Gizmo

// E-Z Rod
3008|FISHING|0|Shrimp Lure

// Shiny Flashy Bait
3012|FISHING|0|Wiggly Worm

// Salmon Eggs
3014|FISHING|0|Shiny Flashy Bait

// Fishing Fly
3016|FISHING|0|Salmon Eggs

// Shrimp Lure
3018|FISHING|0|Fishing Fly

// Electric Eel
3022|FISHING|0|Shiny Flashy Bait, Shrimp Lure, Whizmo Gizmo

// Whale
3024|FISHING|200|Shrimp Lure, Whizmo Gizmo

// Catfish
3026|FISHING|30|Salmon Eggs, Fishing Fly, Whizmo Gizmo

// Perch
3028|FISHING|0|Wiggly Worm, Shiny Flashy Bait, Whizmo Gizmo

// Dogfish
3030|FISHING|50|Shiny Flashy Bait, Salmon Eggs, Whizmo Gizmo

// Gar
3032|FISHING|90|Salmon Eggs, Fishing Fly, Shrimp Lure, Whizmo Gizmo

// Mahi
3034|FISHING|120|Wiggly Worm, Shrimp Lure, Whizmo Gizmo

// Sunfish
3036|FISHING|160|Shiny Flashy Bait, Fishing Fly, Shrimp Lure, Whizmo Gizmo

// Bass
3038|FISHING|70|Wiggly Worm, Shiny Flashy Bait, Salmon Eggs, Fishing Fly, Whizmo Gizmo

// Skeletal Shark
3092|FISHING|200|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Ghost Fish
3094|FISHING|200|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Demon Angler
3096|FISHING|200|Minor Otherworldly Bait, Lesser Otherworldly Bait, Otherworldly Bait

// Shield Fragment
3184|FISHING|0|Wiggly Worm, Shiny Flashy Bait, Salmon Eggs, Fishing Fly, Shrimp Lure

// Neon Squid
3220|FISHING|200|Candy Cane Bait

// Antarctic Ice Fish
3222|FISHING|120|Candy Cane Bait

